Bairro,Vizinho,Logradouro,Tipo,Peso,Tipo Normalizado,Id Rua
Aflitos,Rosarinho,Rua Manuel de Carvalho,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/134174443
Aflitos,Encruzilhada,Rua Teles Júnior,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/134167460
Aflitos,Espinheiro,Rua Gomes de Matos Júnior,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/134167725
Aflitos,Graças,Rua Samuel Campelo,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/966042500
Jaqueira,Tamarineira,Rua Neto de Mendonça,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/965984036
Jaqueira,Graças,Avenida Conselheiro Rosa e Silva,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/475660026
Jaqueira,Torre,Rua Hoel Sette,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/134174571
Jaqueira,Santana,Rua do Futuro,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/316587817
Jaqueira,Parnamirim,Estrada do Arraial,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/134179603
Hipódromo,Ponto de Parada,Rua Fonseca Oliveira,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/151261446
Hipódromo,Encruzilhada,Rua Carlos Fernandes,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/140478431
Hipódromo,Campo Grande,Rua Prudente de Morais,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/151161332
Ponto de Parada,Rosarinho,Rua Couto Magalhães,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/140479112
Ponto de Parada,Encruzilhada,Avenida Beberibe,primary,1.2,Avenida principal,https://openstreetmap.org/way/967668775
Ponto de Parada,Arruda,Rua José Austregésilo,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/151814403
Ponto de Parada,Campo Grande,Rua Mem de Sá,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/967668776
Rosarinho,Tamarineira,Rua Regueira Costa,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/134170995
Rosarinho,Encruzilhada,Rua André Rebouças,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/135319063
Rosarinho,Graças,Rua Desembargador Martins Pereira,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/134170998
Rosarinho,Arruda,Avenida Norte Miguel Arraes de Alencar,primary,1.2,Avenida principal,https://openstreetmap.org/way/305934832
Tamarineira,Graças,Rua Cônego Barata,primary_link,1.2,Avenida principal,https://openstreetmap.org/way/241530799
Tamarineira,Arruda,Estrada Velha de Água Fria,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/966016819
Tamarineira,Casa Amarela,Rua Jundiá,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/372983459
Tamarineira,Parnamirim,Rua Ibiapaba,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/165785931
Tamarineira,Mangabeira,Avenida Professor José dos Anjos,primary,1.2,Avenida principal,https://openstreetmap.org/way/836834976
Encruzilhada,Espinheiro,Avenida João de Barros,primary,1.2,Avenida principal,https://openstreetmap.org/way/311928926
Encruzilhada,Graças,Rua Conselheiro Portela,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/967950985
Encruzilhada,Torreão,Rua da Coragem,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/609810648
Encruzilhada,Campo Grande,Rua Retiro Saudoso,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/140478430
Espinheiro,Graças,Rua da Hora,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/133334731
Espinheiro,Torreão,Rua Marquês do Paraná,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/144474968
Espinheiro,Santo Amaro,Rua Quarenta e Oito,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/704220891
Espinheiro,Boa Vista,Rua do Príncipe,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/128146229
Graças,Boa Vista,Rua Amélia,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/967962393
Graças,Derby,Rua João Ramos,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/319481727
Graças,Madalena,Rua Bruno Maia,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/135721896
Graças,Torre,Rua Antônio Novais,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/927715995
Torreão,Santo Amaro,Rua Othon Paraíso,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/128219448
Torreão,Campo Grande,Rua Cândido Lacerda,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/128218928
Joana Bezerra,Coelhos,Rua Braço do Norte,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/255536611
Joana Bezerra,Ilha do Leite,Rua Bahia Formosa,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/255536605
Joana Bezerra,Paissandu,Rua Ubaitaba,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/255536651
Joana Bezerra,Afogados,Rua Cambuí,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/255536616
Joana Bezerra,Ilha do Retiro,Rua Jaraguari,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/662615609
Bairro do Recife,Santo Amaro,Rua Álvares Cabral,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/51816239
Bairro do Recife,Santo Antônio,Rua Madre de Deus,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/1231083445
Bairro do Recife,Campo Grande,Rua do Apolo,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/358981364
Santo Amaro,Boa Vista,Avenida da Saudade,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/128161935
Santo Amaro,Santo Antônio,Avenida Cruz Cabugá,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/582585083
Santo Amaro,Soledade,Rua Coelho Leite,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/132055216
Santo Amaro,Campo Grande,Rua Treze de Maio,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/762962430
Boa Vista,Coelhos,Rua Rosário da Boa Vista,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/656119805
Boa Vista,Derby,Avenida Manoel Borba,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/1183974130
Boa Vista,Ilha do Leite,Rua Gervásio Pires,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/316218104
Boa Vista,Paissandu,Rua Barão de São Borja,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/320212004
Boa Vista,Santo Antônio,Rua da Soledade,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/129728885
Boa Vista,Soledade,Rua da Soledade,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/129728885
Coelhos,Ilha do Leite,Rua Júlio Bernardo,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/367543798
Coelhos,Santo Antônio,Rua Padopolis,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/367543812
Derby,Paissandu,Rua Barão de Goiana,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/132901896
Derby,Ilha do Retiro,Praça do Derby,primary,1.2,Avenida principal,https://openstreetmap.org/way/383915969
Derby,Madalena,Avenida Governador Agamenon Magalhães,trunk,1.0,Via arterial / Rodovia urbana,https://openstreetmap.org/way/966837057
Ilha do Leite,Paissandu,Rua Estado de Israel,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/129178018
Paissandu,Ilha do Retiro,Avenida Portugal,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/656120186
Paissandu,Madalena,Rua Paissandú,trunk,1.0,Via arterial / Rodovia urbana,https://openstreetmap.org/way/314754263
Afogados,Bongi,Rua Doutor Adelino,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/137186687
Afogados,Ilha do Retiro,Rua Ursulino Pinto de Carvalho,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/137186697
Afogados,Mangueira,Rua Cosme Viana,primary,1.2,Avenida principal,https://openstreetmap.org/way/854786907
Afogados,Mustardinha,Rua Vinte e Um de Abril,primary,1.2,Avenida principal,https://openstreetmap.org/way/1184099726
Afogados,Prado,Rua Manuel Batista de Azevedo,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/137186650
Afogados,Pina,Estrada dos Remédios,primary,1.2,Avenida principal,https://openstreetmap.org/way/129812361
Afogados,Imbiribeira,Rua Itatiuba,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/140090259
Afogados,Jiquiá,Rua Visconde de Inhaúma,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/650850353
Bongi,Mustardinha,Rua Randolfo Pinto Ferreira,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/192027730
Bongi,Prado,Rua Pio Muniz de Farias,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/192029323
Bongi,San Martin,Rua Aparecida de Minas,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/192027514
Brasília Teimosa,Pina,Rua Atum,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/647079907
Ilha do Retiro,Prado,Rua João Elísio Ramos,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/129813358
Ilha do Retiro,Madalena,Rua Astorga,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/136126331
Mangueira,Mustardinha,Rua Benício Dias,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/377691658
Mangueira,Jiquiá,Rua Mandari,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/160314020
Mangueira,San Martin,Rua Doutor Arsênio Tavares,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/222815815
Mustardinha,San Martin,Rua Francisca Benigna Cavalcanti,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/192025811
Prado,San Martin,Rua Carlos Gomes,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/318738696
Prado,Cordeiro,Rua Gervásio Campelo,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/775975800
Prado,Madalena,Rua Rodrigues de Mendonça,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/137744269
Prado,Zumbi,Rua Manoel de Arruda Câmara,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/223532632
Boa Viagem,Jordão,Rua Ribeiro de Brito,primary,1.2,Avenida principal,https://openstreetmap.org/way/854994655
Boa Viagem,Pina,Avenida Hélio Falcão,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/968896542
Boa Viagem,Ibura,Viaduto Tacredo Neves,primary,1.2,Avenida principal,https://openstreetmap.org/way/707010088
Boa Viagem,Imbiribeira,Avenida Marechal Mascarenhas de Moraes,trunk,1.0,Via arterial / Rodovia urbana,https://openstreetmap.org/way/707010074
Cohab,Jordão,Avenida Mato Grosso,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/222712034
Cohab,Barro,Rua Rio Turiaçu,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/222689021
Cohab,Ibura,Rua Sítio dos Moreiras,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/595526751
Jordão,Ibura,Rua Junqueiro,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/161828581
Pina,Imbiribeira,Rua Manoel de Brito,primary,1.2,Avenida principal,https://openstreetmap.org/way/624935364
Barro,Tejipió,Avenida Doutor José Rufino,primary,1.2,Avenida principal,https://openstreetmap.org/way/30811055
Barro,Areias,Rua Dorothéia Vieira,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/222795593
Barro,Ibura,Travessa Doutor Jose Rufino,trunk_link,1.0,Via arterial / Rodovia urbana,https://openstreetmap.org/way/30811087
Barro,Jardim São Paulo,Rua Major Chagas de Oliveira,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/30811075
Coqueiral,Sancho,Rua Doutor José Cornélio,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/316877404
Coqueiral,Tejipió,Rua Quinze de Novembro,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/636857005
Coqueiral,Totó,Rua Guanabara,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/221640528
Sancho,Tejipió,Rua Doutor Urbano Vitalino de Melo Filho,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/336107567
Sancho,Totó,Rua Josita Almeida,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/336107559
Sancho,Curado,Rua Morena Flor,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/245637984
Tejipió,Jardim São Paulo,Rua Itanhenga,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/792115831
Tejipió,Curado,Rua do Sancho,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/244903009
Totó,Curado,Rua Juvêncio Marques da Cunha,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/221641871
Caçote,Areias,Avenida Justiça e Paz,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/336132451
Caçote,Ibura,Rua Feaca,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/336132519
Caçote,Ipsep,Rua Sindicato dos Bancários,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/222795633
Areias,Ibura,Avenida Recife,primary,1.2,Avenida principal,https://openstreetmap.org/way/722757400
Areias,Imbiribeira,Avenida Tapajós,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/656001731
Areias,Ipsep,Rua Pintor Antônio Albuquerque,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/314754308
Areias,Estância,Rua Mearim,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/159256453
Areias,Jardim São Paulo,Rua Senador Alberto Pasqualini,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/1359886532
Areias,Jiquiá,Primeira Travessa Príncipe da Beira,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/511298461
Ibura,Imbiribeira,Rua Frei Luís de Souza,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/161830501
Ibura,Ipsep,Rua Moni Silva,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/161908208
Imbiribeira,Ipsep,Rua Doutor Tavares Correia,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/162651563
Imbiribeira,Jiquiá,Rua Rio Oceânico,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/967575761
Estância,Jardim São Paulo,Rua Sargento Jaime Pantaleão,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/159256399
Estância,Jiquiá,Rua João Pereti,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/143669318
Estância,San Martin,Rua Barão de Buíque,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/143669301
Jardim São Paulo,Jiquiá,Rua Guarulhos,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/166189764
Jardim São Paulo,San Martin,Rua Ana Pires Lustosa,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/166189798
Jardim São Paulo,Curado,Rua Professora Zênia Guerra,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/166189695
Jiquiá,San Martin,Rua Manoel Lopes de Barros,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/159257489
San Martin,Curado,Avenida General San Martin,primary,1.2,Avenida principal,https://openstreetmap.org/way/966570842
San Martin,Torrões,Rua Eduardo de Andrade,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/114690721
San Martin,Cordeiro,Rua Amália,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/198852048
Curado,Cidade Universitária,Avenida Getúlio Vargas,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/1099651426
Curado,Engenho do Meio,Rodovia Luiz Gonzaga,trunk,1.0,Via arterial / Rodovia urbana,https://openstreetmap.org/way/772524549
Curado,Torrões,Avenida Engenheiro Abdias de Carvalho,trunk,1.0,Via arterial / Rodovia urbana,https://openstreetmap.org/way/755634296
Curado,Várzea,Avenida Visconde de São Leopoldo,trunk,1.0,Via arterial / Rodovia urbana,https://openstreetmap.org/way/80453551
Cidade Universitária,Engenho do Meio,Avenida Jornalista Aníbal Fernandes,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/245730591
Cidade Universitária,Várzea,Avenida dos Reitores Joaquim Amazonas,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/317078453
Cidade Universitária,Iputinga,Girador da Reitoria da UFPE,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/707023321
Engenho do Meio,Torrões,Rua Antônio Borges Uchoa,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/199429423
Engenho do Meio,Cordeiro,Rua Carneiro de Mariz,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/199428062
Engenho do Meio,Iputinga,Rua Antônio Curado,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/186977578
Torrões,Cordeiro,Rua Damasqueiro,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/377691618
Caxangá,Várzea,Rua Engenho Poeta,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/204618705
Caxangá,Iputinga,Rua Vicente Zirpoli,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/204618822
Caxangá,Apipucos,Rua Pedro Ernesto,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/533129104
Caxangá,Dois Irmãos,Rua Dona Inês Correa de Araújo,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/204618760
Caxangá,Sítio dos Pintos,Avenida Caxangá,primary,1.2,Avenida principal,https://openstreetmap.org/way/533129106
Várzea,Iputinga,Rua Diogo de Vasconcelos,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/203171868
Arruda,Campo Grande,Rua do Machado,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/151814588
Arruda,Peixinhos,Rua Zeferino Agra,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/142229973
Arruda,Bomba do Hemetério,Rua Ramiz Galvão,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/166895884
Arruda,Campina do Barreto,Rua Coronel Urbano Ribeiro de Sena,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/317313984
Arruda,Mangabeira,Rua Raul Pompéia,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/166894082
Arruda,Água Fria,Rua Bom Conselho,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/151813640
Campo Grande,Peixinhos,Rua Oliveira Fonseca,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/174872346
Peixinhos,Campina do Barreto,Avenida Poeta Vinicius de Morais,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/656122407
Cordeiro,Torre,Rua Eurico de Souza Leão,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/966270822
Cordeiro,Zumbi,Rua Francisco Vita,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/198825728
Cordeiro,Santana,Rua Firmino de Barros,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/198825356
Cordeiro,Iputinga,Rua Professor Evaldo Altino,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/377691612
Cordeiro,Poço da Panela,Rua Alaíde,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/199889730
Madalena,Torre,Rua José Osório,primary,1.2,Avenida principal,https://openstreetmap.org/way/772547583
Madalena,Zumbi,Rua Araguatins,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/314754242
Torre,Zumbi,Rua Professor Trajano de Mendonça,primary,1.2,Avenida principal,https://openstreetmap.org/way/129894857
Torre,Santana,Rua José Bonifácio,primary,1.2,Avenida principal,https://openstreetmap.org/way/967665648
Santana,Casa Forte,Rua Samuel Farias,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/198106073
Santana,Parnamirim,Rua Amaraji,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/198106072
Santana,Poço da Panela,Rua Astério Rufino Alves,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/394896909
Alto José do Pinho,Casa Amarela,Rua Ori,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/475322300
Alto José do Pinho,Morro da Conceição,Rua Maragogi,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/219486431
Alto José do Pinho,Bomba do Hemetério,Rua Horácio Silva,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/313482020
Alto José do Pinho,Mangabeira,Rua Severino Bernardino Pereira,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/219486899
Alto José do Pinho,Alto Santa Teresinha,Rua do Rio,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/475322298
Alto José do Pinho,Alto José Bonifácio,Rua Valeriano Lobo,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/219486551
Alto do Mandu,Casa Amarela,Rua Eliete Aguiar,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/662043286
Alto do Mandu,Monteiro,Rua Humaitá,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/377690552
Alto do Mandu,Macaxeira,Rua Cianorte,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/776576585
Alto do Mandu,Nova Descoberta,Rua Mandacaru,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/317261186
Alto do Mandu,Apipucos,Rua Fernão Velho,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/808054987
Casa Amarela,Casa Forte,Rua Padre Lemos,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/857404860
Casa Amarela,Monteiro,Rua Sempre Viva,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/222816790
Casa Amarela,Morro da Conceição,Rua Taquaratinga,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/199434688
Casa Amarela,Parnamirim,Rua Dona Ana Xavier,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/145218258
Casa Amarela,Poço da Panela,Rua Curupaiti,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/199685785
Casa Amarela,Mangabeira,Rua Major Nereu Guerra,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/435898963
Casa Amarela,Nova Descoberta,Rua Vasco da Gama,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/145218256
Casa Amarela,Vasco da Gama,Rua Frederico Ozanan,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/222819845
Casa Forte,Parnamirim,Rua Jerônimo de Albuquerque,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/197960452
Casa Forte,Poço da Panela,Rua de Casa Forte,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/197960569
Iputinga,Monteiro,Rua Doutor Virgínio Marquês,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/199674085
