Origem,Destino,Passageiros,Voos,Peso
1B1,BDL,1,1,58.0
ABE,ACT,0,1,1364.0
ABE,ATL,68013,1614,692.0
ABE,BDL,28,1,169.0
ABE,BOS,0,10,258.0
ABE,BUF,6,1,232.0
ABE,CMH,82,2,395.0
ABE,DAY,38,1,467.0
ABE,DTW,73747,1948,424.0
ABE,ERI,33,1,265.0
ABE,EWR,12193,255,67.0
ABE,GPT,393,2,1041.0
ABE,ICT,780,6,1196.0
ABE,MBS,34,2,486.0
ABE,MCN,0,1,713.0
ABE,MCO,13717,132,906.0
ABE,MEM,0,512,883.0
ABE,ORD,96171,2475,654.0
ABE,RDU,43,1,376.0
ABE,ROA,42,1,335.0
ABE,SFB,89024,638,882.0
ABI,ACT,35,2,154.0
ABI,AMA,370,4,227.0
ABI,ATL,25,1,889.0
ABI,AUS,42,2,194.0
ABI,DAL,48,2,168.0
ABI,DFW,171489,5275,158.0
ABI,ELP,107,2,395.0
ABI,GRK,52,1,143.0
ABI,IAH,9663,496,307.0
ABI,LBB,147,1246,151.0
ABI,MAF,32,4,151.0
ABI,MCO,249,2,1128.0
ABI,RNO,252,2,1224.0
ABI,YKM,97,1,1474.0
ABQ,ABI,521,5,438.0
ABQ,ACT,82,1,591.0
ABQ,AFW,109,3,551.0
ABQ,AMA,26439,440,277.0
ABQ,AMK,0,3,165.0
ABQ,ATL,277113,2080,1269.0
ABQ,AUS,15595,455,619.0
ABQ,AZA,531,8,313.0
ABQ,BIF,214,1,220.0
ABQ,CMH,27,1,1343.0
ABQ,CNM,5306,1243,230.0
ABQ,CVN,4478,1179,205.0
ABQ,DAL,583039,5853,580.0
ABQ,DAY,1,1,1272.0
ABQ,DFW,620795,5660,569.0
ABQ,DRO,0,1012,159.0
ABQ,DTW,160,1,1347.0
ABQ,EFD,50,1,767.0
ABQ,ELP,119093,1581,223.0
ABQ,EUG,0,1,1082.0
ABQ,EWR,13954,171,1805.0
ABQ,FAT,638,7,744.0
ABQ,FOE,39,1,662.0
ABQ,GUP,0,251,127.0
ABQ,HOB,830,264,254.0
ABQ,HOU,161469,1997,759.0
ABQ,IAH,272564,4419,744.0
ABQ,ICT,26,1,542.0
ABQ,LAR,384,3,436.0
ABQ,LBB,69330,1078,289.0
ABQ,MAF,66063,736,332.0
ABQ,MCO,145374,1316,1552.0
ABQ,MDW,168691,1454,1121.0
ABQ,MEM,373,1004,942.0
ABQ,MIA,72,1,1689.0
ABQ,OAK,187385,1974,889.0
ABQ,OGD,46,3,516.0
ABQ,OMA,139,5,725.0
ABQ,ORD,190778,2396,1118.0
ABQ,PHX,933273,10747,328.0
ABQ,PIA,128,1,1001.0
ABQ,PVU,123,1,454.0
ABQ,RDD,660,6,936.0
ABQ,RDM,198,2,1000.0
ABQ,RDU,262,2,1565.0
ABQ,RNO,886,9,787.0
ABQ,RUI,574,151,128.0
ABQ,SEA,131778,1319,1180.0
ABQ,TCM,23,2,1172.0
ABQ,TOL,0,1,1314.0
ABQ,TPA,47534,434,1497.0
ABQ,TUL,7649,239,608.0
ABQ,TUS,141782,1483,321.0
ABQ,TX6,23,1,572.0
ABQ,YIP,21,4,1338.0
ABR,HON,0,1,74.0
ABR,MCO,135,1,1501.0
ABR,PIR,0,1,117.0
ABY,ATL,72346,2075,146.0
ABY,BFM,0,499,238.0
ABY,CAE,0,1,244.0
ABY,JAN,0,2,350.0
ABY,MCO,0,1,274.0
ACT,ACT,0,1,0.0
ACT,AFW,0,1,95.0
ACT,AMA,124,1,360.0
ACT,BDL,284,2,1529.0
