aeroporto,cidade
1B1,"Hudson, NY"
ABE,"Allentown, PA"
ABI,"Abilene, TX"
ABQ,"Albuquerque, NM"
ABR,"Aberdeen, SD"
ABY,"Albany, GA"
ACT,"Waco, TX"
ACV,"Eureka, CA"
ACY,"Atlantic City, NJ"
ADM,"Ardmore, OK"
ADQ,"Kodiak, AK"
ADS,"Dallas, TX"
AEX,"Alexandria, LA"
AFW,"Dallas, TX"
AGC,"Pittsburgh, PA"
AGS,"Augusta, GA"
AHN,"Athens, GA"
AID,"Anderson, IN"
ALB,"Albany, NY"
ALM,"Alamogordo, NM"
ALO,"Waterloo, IA"
ALW,"Walla Walla, WA"
AMA,"Amarillo, TX"
AMK,"Durango, CO"
AMW,"Ames, IA"
ANB,"Anniston, AL"
ANC,"Anchorage, AK"
AND,"Anderson, SC"
AOO,"Altoona, PA"
APC,"Napa, CA"
APF,"Naples, FL"
APN,"Alpena, MI"
AR1,"Russellville, AR"
ARA,"New Iberia, LA"
ART,"Watertown, NY"
ASN,"Talladega, AL"
AST,"Astoria, OR"
ATL,"Atlanta, GA"
ATW,"Appleton, WI"
ATY,"Watertown, SD"
AUG,"Augusta, ME"
AUO,"Auburn, AL"
AUS,"Austin, TX"
AVL,"Asheville, NC"
AVP,"Scranton, PA"
AZA,"Phoenix, AZ"
AZO,"Kalamazoo, MI"
BAD,"Shreveport, LA"
BDL,"Hartford, CT"
BDR,"Bridgeport, CT"
BFD,"Bradford, PA"
BFF,"Scottsbluff, NE"
BFI,"Seattle, WA"
BFL,"Bakersfield, CA"
BFM,"Mobile, AL"
BGM,"Binghamton, NY"
BGR,"Bangor, ME"
BHM,"Birmingham, AL"
BIF,"El Paso, TX"
BIH,"Bishop, CA"
BIL,"Billings, MT"
BIS,"Bismarck, ND"
BJI,"Bemidji, MN"
BKG,"Branson, MO"
BKL,"Cleveland, OH"
BKW,"Beckley, WV"
BLI,"Bellingham, WA"
BMG,"Bloomington, IN"
BMI,"Bloomington, IL"
BNA,"Nashville, TN"
BOS,"Boston, MA"
BPT,"Beaumont, TX"
BQK,"Brunswick, GA"
BRD,"Brainerd, MN"
BRL,"Burlington, IA"
BRO,"Brownsville, TX"
BTL,"Battle Creek, MI"
BTM,"Butte, MT"
BTR,"Baton Rouge, LA"
BTV,"Burlington, VT"
BUF,"Buffalo, NY"
BWD,"Brownwood, TX"
BWG,"Bowling Green, KY"
BWI,"Baltimore, MD"
BYH,"Blytheville, AR"
BZN,"Bozeman, MT"
CAD,"Cadillac, MI"
CAE,"Columbia, SC"
CAK,"Akron, OH"
CDC,"Cedar City, UT"
CEC,"Crescent City, CA"
CGI,"Cape Girardeau, MO"
CHA,"Chattanooga, TN"
CHI,"Chicago, IL"
CHO,"Charlottesville, VA"
CHS,"Charleston, SC"
CIC,"Chico, CA"
CID,"Cedar Rapids, IA"
CKB,"Clarksburg, WV"
CLE,"Cleveland, OH"
CLL,"College Station, TX"
CLM,"Port Angeles, WA"
CLT,"Charlotte, NC"
CLU,"Columbus, IN"
CMH,"Columbus, OH"
CMI,"Champaign, IL"
CNM,"Carlsbad, NM"
COS,"Colorado Springs, CO"
COU,"Columbia, MO"
CPR,"Casper, WY"
CPS,"St. Louis, MO"
CRP,"Corpus Christi, TX"
CRW,"Charleston, WV"
CSG,"Columbus, GA"
CVG,"Cincinnati, OH"
CVN,"Clovis, NM"
CVO,"Albany, OR"
CWA,"Wausau, WI"
CYS,"Cheyenne, WY"
DAL,"Dallas, TX"
DAY,"Dayton, OH"
DBQ,"Dubuque, IA"
DCA,"Washington, DC"
DCU,"Decatur, AL"
DDC,"Dodge City, KS"
DEC,"Decatur, IL"
DET,"Detroit, MI"
DFW,"Dallas, TX"
DHN,"Dothan, AL"
DIK,"Dickinson, ND"
DLH,"Duluth, MN"
DMA,"Tucson, AZ"
DOV,"Dover, DE"
DPA,"Chicago, IL"
DRO,"Durango, CO"
DRT,"Del Rio, TX"
DSM,"Des Moines, IA"
DTW,"Detroit, MI"
DVT,"Phoenix, AZ"
DWH,"Houston, TX"
DYS,"Abilene, TX"
EAR,"Kearney, NE"
EAT,"Wenatchee, WA"
EAU,"Eau Claire, WI"
EDF,"Anchorage, AK"
EFD,"Houston, TX"
EIL,"Fairbanks, AK"
EKA,"Eureka, CA"
EKO,"Elko, NV"
ELD,"El Dorado, AR"
ELM,"Elmira, NY"
ELN,"Ellensburg, WA"
ELP,"El Paso, TX"
ERI,"Erie, PA"
ESC,"Escanaba, MI"
ESN,"Easton, MD"
EUG,"Eugene, OR"
EVV,"Evansville, IN"
EWN,"New Bern, NC"
EWR,"Newark, NJ"
EYW,"Key West, FL"
FAI,"Fairbanks, AK"
FAR,"Fargo, ND"
FAT,"Fresno, CA"
FAY,"Fayetteville, NC"
FBK,"Fairbanks, AK"
FCA,"Kalispell, MT"
FDY,"Findlay, OH"
FFO,"Dayton, OH"
FFT,"Frankfort, KY"
FLG,"Flagstaff, AZ"
FLL,"Fort Lauderdale, FL"
FLO,"Florence, SC"
FMN,"Farmington, NM"
FNT,"Flint, MI"
FOD,"Fort Dodge, IA"
FOE,"Topeka, KS"
FSD,"Sioux Falls, SD"
FSM,"Fort Smith, AR"
FTW,"Dallas, TX"
FTY,"Atlanta, GA"
FWA,"Fort Wayne, IN"
FWH,"Dallas, TX"
FXE,"Fort Lauderdale, FL"
FYV,"Fayetteville, AR"
GBD,"Great Bend, KS"
GCC,"Gillette, WY"
GCK,"Garden City, KS"
GDC,"Greenville, SC"
GEG,"Spokane, WA"
GFK,"Grand Forks, ND"
GGG,"Longview, TX"
GJT,"Grand Junction, CO"
GLH,"Greenville, MS"
GNV,"Gainesville, FL"
GPT,"Gulfport, MS"
GRB,"Green Bay, WI"
GRI,"Grand Island, NE"
GRK,"Killeen, TX"
GRR,"Grand Rapids, MI"
GSO,"Greensboro, NC"
GSP,"Greenville, SC"
GTF,"Great Falls, MT"
GTR,"Columbus, MS"
GUP,"Gallup, NM"
GUS,"Peru, IN"
GYY,"Gary, IN"
HGR,"Hagerstown, MD"
HIF,"Ogden, UT"
HII,"Lake Havasu City, AZ"
HIK,"Honolulu, HI"
HKS,"Jackson, MS"
HKY,"Hickory, NC"
HLM,"Holland, MI"
HLN,"Helena, MT"
HMN,"Alamogordo, NM"
HNL,"Honolulu, HI"
HOB,"Hobbs, NM"
HON,"Huron, SD"
HOT,"Hot Springs, AR"
HOU,"Houston, TX"
HRO,"Harrison, AR"
HSI,"Hastings, NE"
HSV,"Huntsville, AL"
HUF,"Terre Haute, IN"
HVN,"New Haven, CT"
HVR,"Havre, MT"
HYS,"Hays, KS"
IAB,"Wichita, KS"
IAD,"Washington, DC"
IAH,"Houston, TX"
ICT,"Wichita, KS"
IDA,"Idaho Falls, ID"
II2,"Chicago, IL"
ILG,"Wilmington, DE"
ILM,"Wilmington, NC"
ILN,"Wilmington, OH"
IMT,"Iron Mountain, MI"
IND,"Indianapolis, IN"
IPL,"El Centro, CA"
IPT,"Williamsport, PA"
IRK,"Kirksville, MO"
IRS,"Sturgis, MI"
ISM,"Orlando, FL"
ISN,"Williston, ND"
ISO,"Kinston, NC"
ITH,"Ithaca, NY"
ITO,"Hilo, HI"
JAC,"Jackson, WY"
JAN,"Jackson, MS"
JAX,"Jacksonville, FL"
JBR,"Jonesboro, AR"
JFK,"New York, NY"
JHW,"Jamestown, NY"
JLN,"Joplin, MO"
JMS,"Jamestown, ND"
JNU,"Juneau, AK"
JRB,"New York, NY"
JST,"Johnstown, PA"
JXN,"Jackson, MI"
KDK,"Kodiak, AK"
KTN,"Ketchikan, AK"
LAF,"Lafayette, IN"
LAL,"Lakeland, FL"
LAN,"Lansing, MI"
LAR,"Laramie, WY"
LAS,"Las Vegas, NV"
LAW,"Lawton, OK"
LAX,"Los Angeles, CA"
LBB,"Lubbock, TX"
LBF,"North Platte, NE"
LBL,"Liberal, KS"
LCH,"Lake Charles, LA"
LCK,"Columbus, OH"
LEX,"Lexington, KY"
LFT,"Lafayette, LA"
LGA,"New York, NY"
LGD,"La Grande, OR"
LGU,"Logan, UT"
LIT,"Little Rock, AR"
LKE,"Seattle, WA"
LMT,"Klamath Falls, OR"
