bairro,grau
aflitos,4
afogados,9
agua fria,8
alto do mandu,5
alto jose bonifacio,6
alto jose do pinho,6
alto santa teresinha,5
apipucos,7
areias,8
arruda,9
bairro do recife,3
barro,5
beberibe,4
boa viagem,4
boa vista,9
bomba do hemeterio,5
bongi,4
brasilia teimosa,1
brejo da guabiraba,5
brejo de beberibe,7
cabanga,0
cacote,3
cajueiro,3
campina do barreto,5
campo grande,8
casa amarela,11
casa forte,4
caxanga,5
cidade universitaria,4
coelhos,4
cohab,3
coqueiral,3
cordeiro,9
corrego do jenipapo,6
curado,9
derby,5
dois irmaos,5
dois unidos,4
encruzilhada,8
engenho do meio,5
espinheiro,6
estancia,4
fundao,4
gracas,10
guabiraba,6
hipodromo,3
ibura,8
ilha do leite,4
ilha do retiro,6
imbiribeira,7
ipsep,4
iputinga,8
jaqueira,5
jardim sao paulo,7
jiquia,7
joana bezerra,5
jordao,3
linha do tiro,6
macaxeira,4
madalena,7
mangabeira,5
mangueira,4
monteiro,5
morro da conceicao,4
mustardinha,4
nova descoberta,7
paissandu,6
parnamirim,5
passarinho,4
pau-ferro,1
peixinhos,3
pina,4
poco da panela,6
ponto de parada,5
porto da madeira,4
prado,7
rosarinho,6
san martin,10
sancho,4
santana,6
santo amaro,7
santo antonio,4
sao jose,0
sitio dos pintos,3
soledade,2
tamarineira,7
tejipio,5
torre,6
torreao,4
torroes,4
toto,3
varzea,4
vasco da gama,5
zumbi,4
