Nome,Vizinho,Logradouro,Tipo,Tipo Normalizado,Peso
Aflitos,Rosarinho,Rua Manuel de Carvalho,tertiary,Avenida Principal,1.8
Zumbi,Prado,Rua Caratinga,residential,Rua local / de bairro,2
Zumbi,Cordeiro,Rua Frei Teófilo de Virgoleta,residential,Rua local / de bairro,2
Zumbi,Madalena,Rua Benfica,primary,Avenida Principal,1.2
Zumbi,Torre,Rua Rondônia,residential,Rua local / de bairro,2
Vasco da Gama,Casa Amarela,Rua Santa Maria Goretti,residential,Rua local / de bairro,2
Vasco da Gama,Morro da Conceição,Rua Dois de Fevereiro,tertiary,Rua de ligação / Coletora local,1.8
Vasco da Gama,Alto José Bonifácio,Rua Alto do Carola,residential,Rua local / de bairro,2
Vasco da Gama,Nova Descoberta,Rua Mirandela,residential,Rua local / de bairro,2
Vasco da Gama,Brejo de Beberibe,Rua Alto do Eucalipto,residential,Rua local / de bairro,2
Várzea,Curado,Rua Diogo de Vasconcelos,tertiary,Rua de ligação / Coletora local,1.8
Várzea,Cidade Universitária,Rua Gastão Vidigal,tertiary,Rua de ligação / Coletora local,1.8
Várzea,Caxangá,Rua Elísio Medrado,tertiary,Rua de ligação / Coletora local,1.8
Várzea,Iputinga,Avenida Joaquim Ribeiro,primary,Avenida Principal,1.2
Totó,Coqueiral,Rua Juvêncio Marques da Cunha,tertiary,Rua de ligação / Coletora local,1.8
Totó,Sancho,Rua Ana Carneiro D'Albuquerque,residential,Rua local / de bairro,2
Totó,Curado,Rua Onze de Agosto,secondary,Avenida secundária,1.5
Torrões,San Martin,Rua Damasqueiro,residential,Rua local / de bairro,2
Torrões,Curado,Rua Jordão,residential,Rua local / de bairro,2
Torrões,Engenho do Meio,Rua Engenho Terra do Dia,residential,Rua local / de bairro,2
Torrões,Cordeiro,Rua Oscar Brandão,residential,Rua local / de bairro,2
Torreão,Encruzilhada,Rua Cândido Lacerda,residential,Rua local / de bairro,2
Torreão,Espinheiro,Rua Padre Miguelinho,residential,Rua local / de bairro,2
Torreão,Santo Amaro,Rua Othon Paraíso,residential,Rua local / de bairro,2
Torreão,Campo Grande,Rua Marechal Deodoro,residential,Rua local / de bairro,2
Torre,Jaqueira,Rua José Bonifácio,primary,Avenida Principal,1.2
Torre,Graças,Rua Professor Trajano de Mendonça,primary,Avenida Principal,1.2
Torre,Cordeiro,Rua Conde de Irajá,secondary,Avenida secundária,1.5
Torre,Madalena,,,,
Torre,Zumbi,Praça Professor Campelo Barreto,secondary,Avenida secundária,1.5
Torre,Santana,Rua Professora Aurora Soares,Alça de acesso à avenida principal,Avenida Principal,Alça de acesso à avenida principal
Tejipió,Barro,,,,
Tejipió,Coqueiral,Ponte Lacerda,primary,Avenida Principal,1.2
Tejipió,Sancho,Rua do Sancho,tertiary,Rua de ligação / Coletora local,1.8
Tejipió,Jardim São Paulo,Rua Itanhenga,secondary,Avenida secundária,1.5
Tejipió,Curado,Rua Aprígio Guimarães,tertiary,Rua de ligação / Coletora local,1.8
Tamarineira,Jaqueira,Rua Cônego Barata,primary,Avenida Principal,1.2
